ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
3824657,Male,No,22,No,Healthcare,1,Low,4,Cat_4
3717191,Female,Yes,38,Yes,Engineer,,Average,3,Cat_4
3581921,Female,Yes,67,Yes,Engineer,1,Low,1,Cat_6
3759999,Male,Yes,67,Yes,Lawyer,0,High,2,Cat_6
3306626,Female,Yes,40,Yes,Entertainment,,High,6,Cat_6
3918027,Male,Yes,56,No,Artist,0,Average,2,Cat_6
3559993,Male,No,32,Yes,Healthcare,1,Low,3,Cat_6
3299001,Female,No,33,Yes,Healthcare,1,Low,3,Cat_6
3354719,Female,Yes,61,Yes,Engineer,0,Low,3,Cat_7
3308173,Female,Yes,55,Yes,Artist,1,Average,4,Cat_6
3296603,Female,No,26,Yes,Engineer,1,Low,3,Cat_6
3449403,Male,No,19,No,Healthcare,4,Low,4,Cat_4
3631107,Female,No,19,No,Executive,0,Low,,Cat_3
3948006,Male,Yes,70,No,Lawyer,,Low,1,Cat_6
3669238,Female,Yes,58,No,Doctor,0,Low,1,Cat_3
3517269,Female,No,41,No,Healthcare,1,Low,2,Cat_1
3508884,Female,No,32,No,Homemaker,9,Low,5,Cat_3
3862923,Male,No,31,No,Healthcare,1,Low,6,Cat_6
3562992,Male,Yes,58,Yes,Entertainment,1,Average,4,Cat_6
3732782,Female,Yes,79,Yes,Artist,0,High,1,Cat_6
3965800,Male,Yes,49,Yes,Homemaker,12,Low,1,Cat_3
3937984,Female,No,18,No,Healthcare,3,Low,4,Cat_6
3581958,Male,Yes,33,Yes,Artist,13,Low,2,Cat_3
3502565,Female,No,36,Yes,Artist,5,Low,2,Cat_6
3434696,Female,,58,No,Executive,1,Average,3,Cat_3
3313698,Male,Yes,56,No,Artist,1,Average,3,Cat_6
3573817,Male,No,31,No,Healthcare,9,Low,8,Cat_4
4186412,Male,Yes,49,Yes,Artist,1,Average,3,Cat_6
3532630,Male,No,35,Yes,Artist,0,Low,1,Cat_6
4107789,Female,No,35,No,Artist,5,Low,4,Cat_6
4168428,Female,Yes,45,Yes,Artist,0,Low,3,Cat_6
3703359,Female,Yes,42,No,Doctor,1,Low,2,Cat_4
3831121,Male,No,19,No,Healthcare,1,Low,3,Cat_2
3601596,Male,No,26,No,Homemaker,9,Low,,Cat_6
3952854,Female,Yes,83,No,Lawyer,1,High,2,Cat_6
3621407,Female,No,27,Yes,Healthcare,3,Low,4,Cat_1
3419764,Male,No,32,No,Doctor,5,Low,1,Cat_4
3533305,Female,Yes,28,No,Healthcare,1,Average,5,Cat_3
4021381,Female,Yes,28,Yes,Artist,8,Low,2,Cat_6
3329891,Male,Yes,56,Yes,Artist,,Average,2,Cat_6
3729976,Female,No,47,Yes,Artist,4,Low,1,Cat_6
3836029,Female,No,22,No,Healthcare,0,Low,2,Cat_6
3537289,Female,No,27,Yes,Artist,14,Low,3,Cat_6
3907274,Female,Yes,49,Yes,Artist,1,Low,2,
3521237,Male,Yes,40,No,Engineer,8,Low,1,Cat_6
3533061,Female,Yes,79,No,Lawyer,,High,2,Cat_6
3635450,Male,Yes,41,Yes,Artist,0,Average,4,Cat_4
3641995,Female,No,29,Yes,Healthcare,,Low,1,Cat_7
3981294,Male,No,19,No,Healthcare,0,Low,4,Cat_6
4057146,Female,No,45,Yes,Engineer,1,Low,1,Cat_6
4134957,Female,Yes,61,No,Artist,1,Average,2,Cat_2
4205645,Female,Yes,36,Yes,Artist,1,Average,2,Cat_6
3494396,Male,Yes,40,Yes,Artist,1,Low,1,Cat_3
4043211,Female,Yes,57,Yes,Entertainment,0,Average,2,Cat_6
3533759,Male,Yes,76,No,Marketing,1,Low,1,Cat_4
3635947,Male,Yes,32,Yes,Artist,14,Average,2,Cat_6
3405121,Male,No,25,Yes,Healthcare,9,Low,4,Cat_6
3707574,Male,No,32,,Doctor,8,Low,2,Cat_6
4039733,Female,Yes,45,Yes,Artist,1,Average,3,Cat_3
3557251,Male,Yes,72,Yes,Lawyer,1,Low,,Cat_4
3595893,Male,Yes,48,Yes,Artist,0,Average,2,Cat_6
4053371,Male,Yes,55,Yes,Artist,9,Average,2,Cat_1
3445117,Male,Yes,74,Yes,Lawyer,0,High,3,Cat_6
3328160,Male,Yes,56,Yes,Lawyer,1,High,2,Cat_6
3594081,Male,Yes,59,Yes,Lawyer,7,High,2,Cat_6
3528305,Male,No,25,Yes,Entertainment,0,Low,2,Cat_6
3299847,Male,Yes,31,Yes,Doctor,0,Average,2,Cat_6
3659011,Male,No,27,No,Artist,8,Low,4,Cat_6
3389472,Male,Yes,57,Yes,Artist,0,Average,4,Cat_6
3748042,Female,Yes,39,Yes,Homemaker,,High,2,Cat_6
3591231,Male,Yes,27,Yes,Healthcare,8,Low,2,Cat_6
4137170,Female,Yes,51,Yes,Entertainment,8,Average,2,Cat_6
4152935,Female,Yes,47,No,Artist,0,Average,5,Cat_6
3994246,Female,No,33,No,Healthcare,8,Low,4,Cat_6
3625889,Male,Yes,56,Yes,Artist,0,Average,4,Cat_6
3508921,Female,No,33,No,Homemaker,0,Low,3,Cat_6
3745353,Female,No,36,Yes,Doctor,0,Low,2,Cat_6
3601171,Male,Yes,51,No,Artist,4,Low,3,Cat_4
3558887,Male,Yes,45,Yes,Engineer,2,Average,2,Cat_6
3331967,Female,No,49,Yes,,1,Low,1,Cat_6
3544577,Male,No,30,No,Healthcare,0,Low,4,Cat_6
3317425,Female,No,26,No,Healthcare,6,Low,3,Cat_5
4192637,Male,Yes,63,Yes,Artist,8,Low,1,Cat_6
4111530,Male,Yes,35,No,Entertainment,8,Average,4,Cat_3
3953026,Female,No,19,No,Marketing,1,Low,3,Cat_4
3886441,Male,No,32,No,Healthcare,7,Low,5,Cat_6
4021251,Male,Yes,52,Yes,Artist,0,Average,3,Cat_6
4129997,Female,Yes,36,Yes,Artist,5,Low,2,Cat_6
3467302,Female,No,42,No,Entertainment,7,Low,3,Cat_4
3589095,Male,Yes,40,No,Doctor,0,Average,2,Cat_3
4009770,Male,No,39,Yes,Entertainment,0,Low,3,Cat_1
3341275,Female,Yes,47,Yes,Artist,1,Average,4,Cat_3
3404953,Female,Yes,61,Yes,Artist,1,High,2,Cat_6
4009510,Male,Yes,32,No,Entertainment,1,Low,2,Cat_3
3876103,Male,Yes,55,No,Artist,0,Low,1,Cat_6
3664467,Male,Yes,58,Yes,Artist,,Average,1,Cat_6
3703450,Female,No,38,Yes,Artist,0,Low,1,Cat_6
3273954,Male,Yes,63,Yes,Artist,0,High,2,Cat_6
3556291,Male,Yes,58,Yes,Doctor,1,Average,2,Cat_6
3629748,Male,Yes,30,No,Engineer,3,Average,3,Cat_4
3796506,Male,Yes,60,Yes,Artist,0,Average,4,Cat_6
3477741,Male,Yes,68,No,Executive,1,High,7,Cat_6
3543783,Male,Yes,52,No,Artist,0,Low,3,Cat_4
4017594,Male,Yes,38,No,Executive,0,High,5,Cat_6
3974976,Female,Yes,35,Yes,Healthcare,10,Low,2,Cat_6
3342577,Male,No,18,No,Doctor,1,Low,2,Cat_6
4003637,Male,Yes,30,Yes,Homemaker,3,Low,2,Cat_1
3834361,Male,No,86,No,Lawyer,1,Low,1,Cat_6
3714306,Female,,19,No,Healthcare,6,Low,5,Cat_3
4034298,Male,No,25,No,Healthcare,9,Low,3,Cat_6
4093786,Male,Yes,59,Yes,Entertainment,,Low,4,Cat_4
3374697,Female,No,39,Yes,Artist,0,Low,1,Cat_6
3831509,Female,Yes,50,Yes,Doctor,1,Low,,Cat_6
3599794,Male,No,47,Yes,Artist,1,Low,1,Cat_6
4077035,Male,Yes,43,Yes,Executive,0,High,3,Cat_6
3631069,Male,Yes,36,No,Executive,8,Average,4,Cat_1
3914652,Male,Yes,80,No,Lawyer,1,Low,1,Cat_6
3556837,Male,No,36,Yes,Artist,0,Low,2,Cat_2
4091244,Male,No,27,No,,2,Low,7,Cat_4
3283266,Female,Yes,37,Yes,Artist,1,High,2,Cat_7
3527072,Male,Yes,46,Yes,Executive,0,High,3,Cat_6
3707550,Male,Yes,55,No,Executive,1,High,4,Cat_3
3695526,Female,Yes,47,No,Engineer,9,Average,4,Cat_4
3294391,Female,No,28,Yes,Healthcare,1,Low,3,Cat_3
4084195,Male,Yes,39,No,Entertainment,9,Low,2,Cat_3
3544445,Female,Yes,27,No,Marketing,1,Low,2,Cat_6
3354858,Female,Yes,42,No,Engineer,0,Low,,Cat_6
4148718,Male,Yes,72,Yes,Artist,0,Average,2,Cat_6
4095939,Female,Yes,28,Yes,Engineer,0,Low,2,Cat_6
3314902,Male,No,35,Yes,Entertainment,8,Low,5,Cat_6
3536870,Male,Yes,39,Yes,Executive,9,High,5,Cat_2
3552909,Female,Yes,69,Yes,Lawyer,0,High,2,Cat_6
3906101,Male,No,18,No,Healthcare,6,Low,4,Cat_4
4003446,Male,Yes,46,Yes,Artist,,Low,1,Cat_6
4115859,Female,Yes,50,Yes,Engineer,1,High,2,Cat_4
3872919,Male,No,30,No,Executive,5,Low,5,Cat_6
3748525,Female,No,41,No,Artist,,Low,2,Cat_6
